index,voxel_count,volume,aspect_ratio,sphericity
1,29,246.0479177,3.115658737,0.891934193
2,26,220.5946848,3.757657283,0.786115505
3,16,135.7505753,3.191473696,0.774459197
4,23,195.141452,2.732994789,0.728384586
5,13,110.2973424,5.070706867,0.803758351
6,8,67.87528765,2.731271947,0.931248962
7,12,101.8129315,3.936130095,0.843180236
8,23,195.141452,4.401339515,0.855846709
9,12,101.8129315,2.210394908,0.887555035
10,15,127.2661643,1.97846717,0.929597106
11,9,76.3596986,3.320122392,0.90509786
12,13,110.2973424,1.885925374,0.916216214
13,11,93.32852051,3.505164237,0.911761816
14,9,76.3596986,1.733370309,0.83890836
15,25,212.1102739,6.160968818,0.674987136
16,24,203.6258629,3.426278073,0.737805131
17,22,186.657041,4.473947229,0.786553538
18,17,144.2349862,4.237540325,0.69246099
19,14,118.7817534,3.761614673,0.879883092
20,14,118.7817534,2.012677607,0.952532895
21,9,76.3596986,1.61909421,0.988008893
22,8,67.87528765,1.955406053,0.855130341
23,8,67.87528765,2.699431456,0.865847699
24,8,67.87528765,1.882872296,0.90820712
25,8,67.87528765,1.722506413,0.983171713
26,8,67.87528765,1.714227503,0.995363973
27,8,67.87528765,2.091492878,0.980430991
28,8,67.87528765,2.033815644,0.875289749
29,8,67.87528765,3.222183716,0.859499842
30,8,67.87528765,3.561360081,0.833860826
31,8,67.87528765,1.634960986,0.837072286
32,8,67.87528765,2.011805154,0.931248962
33,8,67.87528765,1.376392353,0.995363973
34,8,67.87528765,1,1
35,8,67.87528765,1.796110479,0.980430991
36,8,67.87528765,1.950835575,0.960662666
37,8,67.87528765,2.180327869,0.91860117
38,8,67.87528765,1.796110479,0.980430991
39,8,67.87528765,1.885357478,0.845893976
40,8,67.87528765,2.830204687,0.926343427
41,8,67.87528765,3.218956322,0.784201705
42,8,67.87528765,1.708597303,0.969133439
43,8,67.87528765,1,1
44,8,67.87528765,2.659368514,0.901225468
45,8,67.87528765,1,1
46,8,67.87528765,1.535465036,0.965457349
47,8,67.87528765,1.846802198,0.957571578
48,8,67.87528765,1.796110479,0.980430991
49,8,67.87528765,1.535465036,0.965457349
50,8,67.87528765,1.796110479,0.980430991
51,8,67.87528765,1.348516987,0.977211591
52,8,67.87528765,2.582636946,0.790515057
53,8,67.87528765,2.011805154,0.931248962
54,8,67.87528765,2.745607835,0.931248962
55,8,67.87528765,1.950835575,0.960662666
56,8,67.87528765,1.60849883,0.995363973
57,8,67.87528765,1.950835575,0.960662666
58,8,67.87528765,4.74025974,0.896214948
59,8,67.87528765,2.091492878,0.980430991
60,8,67.87528765,1.348516987,0.977211591
61,8,67.87528765,1.950835575,0.960662666
62,8,67.87528765,1.60849883,0.995363973
63,8,67.87528765,1.643534985,0.78781068
64,8,67.87528765,2.118539408,0.846115976
65,8,67.87528765,1,1
66,8,67.87528765,1.722506413,0.983171713
67,8,67.87528765,1.714227503,0.995363973
68,8,67.87528765,2.091492878,0.980430991
69,8,67.87528765,1.950835575,0.960662666
70,8,67.87528765,1.697047417,0.815544646
71,8,67.87528765,1.846802198,0.957571578
72,8,67.87528765,1.722506413,0.983171713
73,8,67.87528765,1.950835575,0.960662666
74,8,67.87528765,3.181998536,0.86837419
75,8,67.87528765,1.642909915,0.90820712
76,8,67.87528765,1.60849883,0.995363973
77,8,67.87528765,1.60849883,0.995363973
78,8,67.87528765,1.718222777,0.894639878
79,8,67.87528765,1.376392353,0.995363973
80,8,67.87528765,1,1
81,8,67.87528765,2.92899644,0.844085327
82,8,67.87528765,1.60849883,0.995363973
83,8,67.87528765,2.091492878,0.980430991
84,8,67.87528765,1.950835575,0.960662666
85,8,67.87528765,1.642909915,0.90820712
86,8,67.87528765,3.012210397,0.799731414
87,8,67.87528765,1.722506413,0.983171713
88,8,67.87528765,1.714227503,0.995363973
89,8,67.87528765,3.202581209,0.931248962
90,8,67.87528765,1.803879456,0.884778093
91,8,67.87528765,2.121268033,0.881873875
92,8,67.87528765,1,1
93,8,67.87528765,1.846802198,0.957571578
94,8,67.87528765,1.642909915,0.90820712
95,8,67.87528765,1.668634594,0.907482804
96,8,67.87528765,1.534246575,0.901225468
97,8,67.87528765,1.722506413,0.983171713
98,8,67.87528765,2.860290867,0.925412785
99,8,67.87528765,1.722506413,0.983171713
100,8,67.87528765,1.687688215,0.73677027
101,8,67.87528765,1,1
102,8,67.87528765,3.882341169,0.85283059
103,8,67.87528765,2.738707221,0.805157272
104,8,67.87528765,1.966442953,0.896214948
105,8,67.87528765,1.796110479,0.980430991
106,8,67.87528765,1.796110479,0.980430991
107,8,67.87528765,1.722506413,0.983171713
108,8,67.87528765,1,1
109,8,67.87528765,2.217821782,0.946282333
110,8,67.87528765,1.551579106,0.946282333
111,8,67.87528765,2.478245479,0.901225468
112,8,67.87528765,1,1
113,8,67.87528765,5.042676513,0.885912684
114,8,67.87528765,1.376392353,0.995363973
115,8,67.87528765,1.823952661,0.890521289
116,8,67.87528765,1.535465036,0.965457349
117,8,67.87528765,1.535465036,0.965457349
118,8,67.87528765,1.60849883,0.995363973
119,8,67.87528765,1,1
120,8,67.87528765,1.876747093,0.790515057
121,8,67.87528765,1,1
122,8,67.87528765,1,1
123,8,67.87528765,1.642909915,0.90820712
124,8,67.87528765,1.796110479,0.980430991
125,8,67.87528765,1.640083535,0.923865863
126,8,67.87528765,1.408,0.969133439
127,8,67.87528765,1.950835575,0.960662666
128,8,67.87528765,1.950835575,0.960662666
129,8,67.87528765,1.376392353,0.995363973
130,8,67.87528765,1.642909915,0.90820712
131,8,67.87528765,1.961853721,0.801620465
132,8,67.87528765,5.200969075,0.896214948
133,8,67.87528765,1.931136002,0.901225468
134,8,67.87528765,1.931871531,0.87095468
135,8,67.87528765,1,1
136,8,67.87528765,1.60849883,0.995363973
137,8,67.87528765,2.091492878,0.980430991
138,8,67.87528765,1.708597303,0.969133439
139,8,67.87528765,1.512066288,0.857366521
140,8,67.87528765,1.668634594,0.907482804
